R_squared	Analysis_Type	Target_Group	Source_File	GO.ID	Term	Annotated	Significant	Expected	Classic_Fisher
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0005391	P-type sodium:potassium-exchanging transporter activity	4	1	0.02	0.022
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0015662	P-type ion transporter activity	7	1	0.04	0.038
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0140358	P-type transmembrane transporter activity	8	1	0.04	0.043
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0034389	lipid droplet organization	3	1	0	0.0011
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0006883	cellular sodium ion homeostasis	8	1	0	0.003
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0036376	sodium ion export across plasma membrane	8	1	0	0.003
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0030007	cellular potassium ion homeostasis	8	1	0	0.003
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0019915	lipid storage	9	1	0	0.0034
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:1990573	potassium ion import across plasma membrane	14	1	0.01	0.0053
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:1902600	proton transmembrane transport	33	1	0.01	0.0125
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0031638	zymogen activation	1	1	0	0.00057
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0034389	lipid droplet organization	3	1	0	0.00171
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0006883	cellular sodium ion homeostasis	8	1	0	0.00456
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0036376	sodium ion export across plasma membrane	8	1	0	0.00456
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0030007	cellular potassium ion homeostasis	8	1	0	0.00456
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0019915	lipid storage	9	1	0.01	0.00513
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:1990573	potassium ion import across plasma membrane	14	1	0.01	0.00797
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:1902600	proton transmembrane transport	33	1	0.02	0.01871
0.70	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	2	0.05	7e-04
0.70	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0005615	extracellular space	180	2	0.1	0.0031
