"motivo" "n_OG_sig" "median_R2_adj" "median_pval" "n_positive_coef" "n_negative_coef" "direction_dominant"
"MA1456.2" 692 0.031 0.0198 372 320 "polymorphic"
"MA2279.1" 692 0.0306 0.0207 480 212 "polymorphic"
"MA2247.1" 689 0.0313 0.0189 506 183 "polymorphic"
"MA2236.1" 688 0.0315 0.0206 395 293 "polymorphic"
"MA0220.1" 687 0.0293 0.0238 371 316 "polymorphic"
"MA2293.1" 687 0.032 0.0184 529 158 "polymorphic"
"MA1840.2" 686 0.0303 0.0204 379 307 "polymorphic"
"MA2246.1" 686 0.032 0.0181 449 237 "polymorphic"
"MA1836.2" 684 0.029 0.0225 232 452 "monomorphic"
"MA2226.1" 681 0.0296 0.0224 569 112 "polymorphic"
"MA2264.1" 679 0.0302 0.0188 558 121 "polymorphic"
"MA2280.1" 676 0.0304 0.0209 494 182 "polymorphic"
"MA2199.1" 675 0.031 0.0203 452 223 "polymorphic"
"MA2311.1" 674 0.032 0.0193 539 135 "polymorphic"
"MA0016.2" 672 0.0325 0.0193 523 149 "polymorphic"
"MA0226.1" 672 0.0303 0.0233 526 146 "polymorphic"
"MA0213.1" 667 0.0311 0.0214 446 221 "polymorphic"
"MA2466.1" 667 0.0329 0.0183 391 276 "polymorphic"
"MA0460.1" 665 0.0319 0.019 396 269 "polymorphic"
"MA0193.1" 664 0.029 0.0236 245 419 "monomorphic"
"MA0203.1" 663 0.0306 0.0213 296 367 "monomorphic"
"MA2193.1" 663 0.0316 0.0189 367 296 "polymorphic"
"MA2258.1" 661 0.0295 0.0223 467 194 "polymorphic"
"MA2632.1" 659 0.033 0.0174 573 86 "polymorphic"
"MA0190.1" 658 0.03 0.0228 97 561 "monomorphic"
"MA0212.1" 658 0.03 0.0228 97 561 "monomorphic"
"MA0234.1" 658 0.03 0.0228 97 561 "monomorphic"
"MA0915.2" 658 0.03 0.0228 97 561 "monomorphic"
"MA0170.1" 657 0.0314 0.0222 359 298 "polymorphic"
"MA1457.2" 655 0.0308 0.0199 465 190 "polymorphic"
"MA2235.1" 653 0.0291 0.023 445 208 "polymorphic"
"MA2265.1" 652 0.0296 0.0219 601 51 "polymorphic"
"MA2298.1" 649 0.0306 0.0208 449 200 "polymorphic"
"MA0448.1" 646 0.0308 0.0213 365 281 "polymorphic"
"MA2214.1" 643 0.0314 0.0193 539 104 "polymorphic"
"MA0179.1" 641 0.0306 0.0222 482 159 "polymorphic"
"MA0452.3" 640 0.031 0.0192 464 176 "polymorphic"
"MA0201.1" 639 0.0282 0.0237 315 324 "monomorphic"
"MA0230.1" 638 0.0306 0.022 369 269 "polymorphic"
"MA2285.1" 638 0.0307 0.0195 573 65 "polymorphic"
"MA2269.1" 637 0.0315 0.019 352 285 "polymorphic"
"MA2227.1" 635 0.0297 0.0227 366 269 "polymorphic"
"MA0166.1" 632 0.031 0.0211 333 299 "polymorphic"
"MA0186.1" 632 0.031 0.0211 333 299 "polymorphic"
"MA0215.1" 632 0.031 0.0211 333 299 "polymorphic"
"MA0225.1" 632 0.031 0.0211 333 299 "polymorphic"
"MA2241.1" 628 0.0299 0.022 339 289 "polymorphic"
"MA0456.1" 621 0.0301 0.0212 473 148 "polymorphic"
"MA2197.1" 620 0.0298 0.0229 169 451 "monomorphic"
"MA1700.1" 617 0.0302 0.0237 471 146 "polymorphic"
"MA0205.3" 615 0.0287 0.023 417 198 "polymorphic"
"MA2210.1" 611 0.0315 0.0196 375 236 "polymorphic"
"MA2295.1" 600 0.0303 0.0212 361 239 "polymorphic"
"MA2309.1" 598 0.0314 0.0192 444 154 "polymorphic"
"MA0246.1" 596 0.0307 0.0219 454 142 "polymorphic"
"MA0206.1" 593 0.0308 0.0218 480 113 "polymorphic"
"MA0207.1" 586 0.0286 0.024 134 452 "monomorphic"
"MA0227.1" 586 0.0286 0.024 134 452 "monomorphic"
"MA0235.1" 582 0.0294 0.0238 320 262 "polymorphic"
"MA2213.1" 579 0.0305 0.0215 438 141 "polymorphic"
"MA0200.2" 578 0.0296 0.023 515 63 "polymorphic"
"MA0191.1" 577 0.0309 0.0209 454 123 "polymorphic"
"MA0255.2" 572 0.0288 0.0236 293 279 "polymorphic"
"MA2292.1" 571 0.0299 0.0248 268 303 "monomorphic"
"MA0094.3" 566 0.0308 0.0211 426 140 "polymorphic"
"MA0172.1" 566 0.0308 0.0211 426 140 "polymorphic"
"MA0178.1" 566 0.0308 0.0211 426 140 "polymorphic"
"MA0194.1" 566 0.0308 0.0211 426 140 "polymorphic"
